,co,no,no2,o3,so2,pm2_5,pm10,nh3,date_period,date_day,date_month,date_year,name_month,date_hour
0,407.22,6.26,8.05,0.08,0.57,6.62,8.61,1.27,2021-01-01 00:00:00,1,1,2021,January,0
1,357.15,4.64,6.34,0.07,0.37,6.05,7.84,1.16,2021-01-01 01:00:00,1,1,2021,January,1
2,323.77,3.55,4.97,0.05,0.35,5.67,7.31,1.3,2021-01-01 02:00:00,1,1,2021,January,2
3,307.08,2.96,4.46,0.09,0.44,5.69,7.26,1.69,2021-01-01 03:00:00,1,1,2021,January,3
4,297.07,2.46,4.63,0.11,0.61,5.81,7.32,2.47,2021-01-01 04:00:00,1,1,2021,January,4
5,287.06,2.43,4.46,0.05,0.75,5.82,7.24,3.17,2021-01-01 05:00:00,1,1,2021,January,5
6,283.72,2.93,4.11,0.04,0.87,5.76,7.04,3.64,2021-01-01 06:00:00,1,1,2021,January,6
7,310.42,4.53,4.41,0.64,1.01,5.76,6.92,3.1,2021-01-01 07:00:00,1,1,2021,January,7
8,357.15,7.82,5.57,4.74,0.95,5.9,7.07,1.73,2021-01-01 08:00:00,1,1,2021,January,8
9,370.5,4.75,9.43,28.61,0.79,5.92,7.05,1.09,2021-01-01 09:00:00,1,1,2021,January,9
10,327.11,0.29,1.46,39.34,0.28,3.86,4.73,0.66,2021-01-01 10:00:00,1,1,2021,January,10
11,323.77,0.14,0.8,42.56,0.24,3.63,4.47,0.66,2021-01-01 11:00:00,1,1,2021,January,11
12,323.77,0.11,0.65,42.56,0.24,3.54,4.34,0.68,2021-01-01 12:00:00,1,1,2021,January,12
13,320.44,0.09,0.52,40.77,0.19,3.39,4.16,0.65,2021-01-01 13:00:00,1,1,2021,January,13
14,317.1,0.09,0.55,41.13,0.18,3.31,4.05,0.61,2021-01-01 14:00:00,1,1,2021,January,14
15,320.44,0.1,0.61,40.41,0.18,3.33,4.04,0.62,2021-01-01 15:00:00,1,1,2021,January,15
16,320.44,0.13,0.83,39.7,0.19,3.47,4.17,0.63,2021-01-01 16:00:00,1,1,2021,January,16
17,330.45,0.2,1.46,40.05,0.23,3.76,4.48,0.69,2021-01-01 17:00:00,1,1,2021,January,17
18,337.12,0.17,2.31,38.27,0.27,3.99,4.74,0.76,2021-01-01 18:00:00,1,1,2021,January,18
19,357.15,0.02,5.01,29.68,0.45,4.33,5.15,0.93,2021-01-01 19:00:00,1,1,2021,January,19
20,377.18,0.0,7.71,20.92,0.68,4.87,5.78,1.11,2021-01-01 20:00:00,1,1,2021,January,20
21,380.52,0.01,8.65,16.45,0.75,5.26,6.22,1.2,2021-01-01 21:00:00,1,1,2021,January,21
22,370.5,0.02,8.57,12.88,0.73,5.45,6.45,1.27,2021-01-01 22:00:00,1,1,2021,January,22
23,357.15,0.04,8.31,9.48,0.63,5.5,6.51,1.27,2021-01-01 23:00:00,1,1,2021,January,23
24,330.45,0.04,6.94,7.24,0.42,5.34,6.31,1.11,2021-01-02 00:00:00,2,1,2021,January,0
25,293.73,0.01,4.07,6.62,0.25,4.98,5.83,0.9,2021-01-02 01:00:00,2,1,2021,January,1
26,273.71,0.01,2.55,6.17,0.19,4.74,5.46,0.71,2021-01-02 02:00:00,2,1,2021,January,2
27,267.03,0.01,2.01,5.23,0.19,4.59,5.23,0.59,2021-01-02 03:00:00,2,1,2021,January,3
28,260.35,0.02,1.67,4.34,0.19,4.39,4.96,0.55,2021-01-02 04:00:00,2,1,2021,January,4
29,257.02,0.04,1.5,3.49,0.19,4.16,4.67,0.54,2021-01-02 05:00:00,2,1,2021,January,5
30,257.02,0.14,1.65,2.73,0.21,4.01,4.49,0.58,2021-01-02 06:00:00,2,1,2021,January,6
31,273.71,1.15,2.68,1.88,0.32,4.08,4.61,0.57,2021-01-02 07:00:00,2,1,2021,January,7
32,303.75,2.77,4.03,6.08,0.4,4.23,4.81,0.53,2021-01-02 08:00:00,2,1,2021,January,8
33,320.44,1.59,4.93,20.21,0.38,4.47,5.01,0.59,2021-01-02 09:00:00,2,1,2021,January,9
34,330.45,0.13,0.79,22.71,0.13,5.31,5.67,0.78,2021-01-02 10:00:00,2,1,2021,January,10
35,337.12,0.08,0.57,26.11,0.13,5.15,5.49,0.78,2021-01-02 11:00:00,2,1,2021,January,11
36,337.12,0.07,0.55,29.33,0.13,4.97,5.29,0.77,2021-01-02 12:00:00,2,1,2021,January,12
37,333.79,0.06,0.45,30.76,0.12,4.4,4.74,0.7,2021-01-02 13:00:00,2,1,2021,January,13
38,330.45,0.06,0.44,31.11,0.11,3.94,4.26,0.65,2021-01-02 14:00:00,2,1,2021,January,14
39,330.45,0.06,0.49,31.83,0.13,3.81,4.11,0.64,2021-01-02 15:00:00,2,1,2021,January,15
40,333.79,0.09,0.76,32.19,0.16,3.92,4.19,0.67,2021-01-02 16:00:00,2,1,2021,January,16
41,343.8,0.14,1.41,33.98,0.23,4.26,4.52,0.71,2021-01-02 17:00:00,2,1,2021,January,17
42,350.48,0.12,2.29,35.05,0.29,4.58,4.86,0.76,2021-01-02 18:00:00,2,1,2021,January,18
43,350.48,0.01,2.74,29.68,0.34,4.91,5.21,0.76,2021-01-02 19:00:00,2,1,2021,January,19
44,343.8,0.0,2.51,22.89,0.35,5.11,5.43,0.67,2021-01-02 20:00:00,2,1,2021,January,20
45,337.12,0.0,2.12,18.24,0.34,5.14,5.44,0.55,2021-01-02 21:00:00,2,1,2021,January,21
46,327.11,0.0,2.1,13.77,0.35,5.15,5.46,0.48,2021-01-02 22:00:00,2,1,2021,January,22
47,320.44,0.01,2.51,9.57,0.37,5.17,5.53,0.47,2021-01-02 23:00:00,2,1,2021,January,23
48,313.76,0.02,2.64,6.8,0.34,5.08,5.44,0.49,2021-01-03 00:00:00,3,1,2021,January,0
49,303.75,0.01,2.19,5.54,0.29,4.9,5.19,0.49,2021-01-03 01:00:00,3,1,2021,January,1
50,297.07,0.01,1.56,5.23,0.26,4.66,4.88,0.45,2021-01-03 02:00:00,3,1,2021,January,2
51,297.07,0.01,1.17,5.45,0.24,4.53,4.7,0.42,2021-01-03 03:00:00,3,1,2021,January,3
52,297.07,0.01,1.0,5.14,0.22,4.49,4.66,0.44,2021-01-03 04:00:00,3,1,2021,January,4
53,290.39,0.03,1.16,4.07,0.24,4.45,4.64,0.58,2021-01-03 05:00:00,3,1,2021,January,5
54,293.73,0.11,1.71,3.35,0.32,4.47,4.68,0.89,2021-01-03 06:00:00,3,1,2021,January,6
55,307.08,0.82,3.47,2.17,0.53,4.63,4.91,1.16,2021-01-03 07:00:00,3,1,2021,January,7
56,340.46,2.49,5.14,3.62,0.59,4.71,5.06,0.83,2021-01-03 08:00:00,3,1,2021,January,8
57,347.14,1.62,5.66,14.84,0.54,4.62,4.96,0.65,2021-01-03 09:00:00,3,1,2021,January,9
58,333.79,0.16,1.61,19.49,0.24,2.62,2.76,0.42,2021-01-03 10:00:00,3,1,2021,January,10
59,330.45,0.09,1.07,19.31,0.19,1.83,1.94,0.39,2021-01-03 11:00:00,3,1,2021,January,11
